Non-GPO,GPO
dk01                ,?
dk02                ,?
dk03                ,?
dk04                ,?
dk10.cicsregion     ,?
dk10.mfdate_dd      ,?
dk10.mfdate_mm      ,?
dk10.mfdate_yyyy    ,?
dk10.time           ,?
dk10._seq           ,?
dk12.accessitems    ,?
dk12.accessitemscount,?
dk12._seq           ,?
dl01                ,?
dl10                ,?
dl12.companyname    ,commercial_name
dl12.datedissvd_dd  ,identification.dissolution_date
dl12.datedissvd_mm  ,identification.dissolution_date
dl12.datedissvd_yyyy,identification.dissolution_date
dl12.dateincorp_dd  ,identification.incorporation_date
dl12.dateincorp_mm  ,identification.incorporation_date
dl12.dateincorp_yyyy,identification.incorporation_date
dl12.legalstatus    ,identification.legal_status
dl12.regaddr1       ,identification.registered_office.location_line1
dl12.regaddr2       ,identification.registered_office.location_line2
dl12.regaddr3       ,identification.registered_office.location_line3
dl12.regaddr4       ,identification.registered_office.location_line4
dl12.regnumber      ,reg_number
dl12.regpostcode    ,identification.registered_office.postcode
dl12._seq           ,?
dl13.asregofficeflag,identification.as_registered_office
dl13.issuedcap      ,identification.issued_capital
dl13.issuedcapcurr  ,identification.currency
dl13.len1980sic     ,?
dl13.len1992sic     ,?
dl13.lenprincactiv  ,?
dl13.lentraddets    ,?
dl13.princactivities,identification.principal_activities
dl13.regnumber      ,?
dl13.sic1980code1   ,identification.sic_information1980
dl13.sic1980code2   ,identification.sic_information1980
dl13.sic1980code3   ,identification.sic_information1980
dl13.sic1980code4   ,identification.sic_information1980
dl13.sic1980desc1   ,?
dl13.sic1992code1   ,identification.sic_information1992
dl13.sic1992code2   ,identification.sic_information1992
dl13.sic1992code3   ,identification.sic_information1992
dl13.sic1992code4   ,identification.sic_information1992
dl13.sic1992desc1   ,?
dl13.sic1992desc2   ,?
dl13.sic1992desc3   ,?
dl13.sic1992desc4   ,?
dl13.tradaddr1      ,identification.trading_location.location_line1
dl13.tradaddr2      ,identification.trading_location.location_line2
dl13.tradaddr3      ,identification.trading_location.location_line3
dl13.tradaddr4      ,identification.trading_location.location_line4
dl13.tradaddr5      ,identification.trading_location.location_line5
dl13.tradphonenum   ,identification.trading_telephone_num
dl13.tradpostcode   ,identification.trading_location.postcode
dl13._seq           ,?
dl14.numprevnames   ,identification.previous_names.num_prev_names
dl14.prevnames      ,identification.previous_names.previous_name
dl14.regnumber      ,?
dl14._seq           ,?
dl15.numprevaddresses,identification.previous_addresses.num_prev_addresses
dl15.prevcompnames  ,identification.previous_addresses.previous_cro
dl15.regnumber      ,?
dl15._seq           ,?
dl16.accsrefdate_dd ,identification.filing_details.accounts_ref_date.dd
dl16.accsrefdate_mm ,identification.filing_details.accounts_ref_date.mm
dl16.dbaccoutofdate ,identification.filing_details.database_accounts_out_of_date
dl16.filedaccoutofdate,identification.filing_details.filed_accounts_out_of_date
dl16.latestaccs_dd  ,identification.filing_details.latest_accounts
dl16.latestaccs_mm  ,identification.filing_details.latest_accounts
dl16.latestaccs_yyyy,identification.filing_details.latest_accounts
dl16.latestaccsonfile_dd,identification.filing_details.latest_accounts_database
dl16.latestaccsonfile_mm,identification.filing_details.latest_accounts_database
dl16.latestaccsonfile_yyyy,identification.filing_details.latest_accounts_database
dl16.latestaccstype ,identification.filing_details.latest_account_type
dl16.latestauditor  ,?
dl16.latestrets_dd  ,identification.filing_details.latest_returns
dl16.latestrets_mm  ,identification.filing_details.latest_returns
dl16.latestrets_yyyy,identification.filing_details.latest_returns
dl16.latestretsonfile_dd,identification.filing_details.latest_returns_database
dl16.latestretsonfile_mm,identification.filing_details.latest_returns_database
dl16.latestretsonfile_yyyy,identification.filing_details.latest_returns_database
dl16.numaccsonfile  ,identification.filing_details.num_accounts_on_file
dl16.numdaystofileaccs,identification.filing_details.number_days_to_file_accounts
dl16.regnumber      ,?
dl16._seq           ,?
dl17.bankaddr1      ,identification.bank.bank_location.location_line1
dl17.bankaddr2      ,identification.bank.bank_location.location_line2
dl17.bankaddr3      ,identification.bank.bank_location.location_line3
dl17.bankaddr4      ,identification.bank.bank_location.location_line4
dl17.bankname       ,identification.bank.bank_name
dl17.bankpostcode   ,identification.bank.bank_location.postcode
dl17.banksortcode   ,identification.bank.bank_sortcode
dl17.regnumber      ,?
dl17._seq           ,?
dl19.numcrochanges  ,identification.cro_changes.num_cro_changes
dl19.numprevnames   ,?
dl19.numprevregoffices,?
dl19.numprincsharehlds,?
dl19.numsubsids     ,?
dl19.regnumber      ,?
dl19._seq           ,?
dl20.lenprevsrchs   ,?
dl20.numprevsrchs   ,?
dl20.numprevsrchtypes,?
dl20.prevsrchsdata  ,identification.prev_searches.previous_search_detail
dl20.prevsrchstypes ,?
dl20.regnumber      ,?
dl20._seq           ,?
dl21.numprevsrchs   ,identification.prev_searches.num_prev_search
dl21.numprevsrchs_12mths,identification.prev_searches.num_prev_search12_mth
dl21.numprevsrchs_3mths,identification.prev_searches.num_prev_search3_mth
dl21.numprevsrchs_6mths,identification.prev_searches.num_prev_search6_mth
dl21.regnumber      ,?
dl21._seq           ,?
dl22.numccls        ,identification.cc_ls.total_number_ccl
dl22.regnumber      ,?
dl22._seq           ,?
dl23.bulksharehlds  ,corporate_structure.company_ownership.bulk_share_holders
dl23.bulktelephone  ,corporate_structure.company_ownership.bulk_telephone
dl23.lenpardets     ,?
dl23.lenprevpardets ,?
dl23.lenprevultpardets,?
dl23.lenprincshareholders,?
dl23.lenultpardets  ,?
dl23.numprincsharehlds,corporate_structure.company_ownership.num_princ_share_hldrs
dl23.parcountry     ,corporate_structure.company_ownership.par_country
dl23.parentname     ,corporate_structure.company_ownership.parent_detail.commercial_name
dl23.parregaddr1    ,corporate_structure.company_ownership.parent_detail.business_location.location_line1
dl23.parregaddr2    ,corporate_structure.company_ownership.parent_detail.business_location.location_line2
dl23.parregaddr3    ,corporate_structure.company_ownership.parent_detail.business_location.location_line3
dl23.parregaddr4    ,corporate_structure.company_ownership.parent_detail.business_location.location_line4
dl23.parregnum      ,corporate_structure.company_ownership.par_reg_number
dl23.parregpostcode ,corporate_structure.company_ownership.parent_detail.business_location.postcode
dl23.prevparcountry ,corporate_structure.company_ownership.prev_par_country
dl23.prevparname    ,corporate_structure.company_ownership.prev_par_name.commercial_name
dl23.prevparregnum  ,corporate_structure.company_ownership.prev_par_reg_number
